---------------------------------------------------------------------------
Morphalou3.1 : Lexique morphologique ouvert du français – Ce fichier contient uniquement les Mots grammaticaux (nombres, prépositions, pronoms, conjonctions et déterminants)
813 lemmes et 1 326 formes fléchies de catégorie Mots grammaticaux (nombres, prépositions, pronoms, conjonctions et déterminants) (sur un total de 159 271 lemmes et 976 570 formes fléchies, toutes catégories confondues)
Le maintien et la mise à jour du lexique sont assurés par l'ATILF CNRS. (44 avenue de la Libération 54000 Nancy)
Morphalou3 est distribué sous licence LGPL-LR.
Version de 6/2016
Morphalou3 est le résultat de la fusion de 5 lexiques :
	- Morphalou2 (décembre 2013) : http://www.cnrtl.fr/lexiques/morphalou/
	- DELA (décembre 2011) : http://infolingu.univ-mlv.fr/
	- Dicollecte (4.3) : http://dicollecte.org/home.php?prj=fr
	- Lefff (2.1) : http://www.labri.fr/perso/clement/lefff/
	- LGLex et LGLexLefff (3.4) : http://infolingu.univ-mlv.fr/
Ce travail a été réalisé par Marie TONNELIER dans le cadre du projet Ortolang. (ORTOLANG bénéficie d'une aide de l’Etat au titre du programme « Investissements d’avenir » ANR–11–EQPX–0032)
---------------------------------------------------------------------------
LEMME;;;;;;;;;FLEXION;;;;;;;;
GRAPHIE;ID;CATÉGORIE;SOUS CATÉGORIE;LOCUTION;GENRE;AUTRES LEMMES LIÉS;PHONÉTIQUE;ORIGINES;GRAPHIE;ID;NOMBRE;MODE;GENRE;TEMPS;PERSONNE;PHONÉTIQUE;ORIGINES
;;;;;;;;;au sortir d';1037138;-;-;-;-;-;;lefff
au sujet de;170642;Préposition;;;-;;;lefff;au sujet de;1037139;-;-;-;-;-;;lefff
;;;;;;;;;au sujet d';1037140;-;-;-;-;-;;lefff
au terme de;170643;Préposition;;;-;;;lefff;au terme de;1037141;-;-;-;-;-;;lefff
;;;;;;;;;au terme d';1037142;-;-;-;-;-;;lefff
au travers de;170645;Préposition;;;-;;;lefff;au travers de;1037144;-;-;-;-;-;;lefff
;;;;;;;;;au travers d';1037145;-;-;-;-;-;;lefff
au tréfonds de;170646;Préposition;;;-;;;lefff;au tréfonds de;1037146;-;-;-;-;-;;lefff
;;;;;;;;;au tréfonds d';1037147;-;-;-;-;-;;lefff
au vu de;170647;Préposition;;;-;;;lefff;au vu de;1037148;-;-;-;-;-;;lefff
;;;;;;;;;au vu d';1037149;-;-;-;-;-;;lefff
au vu et au su de;170648;Préposition;;;-;;;lefff;au vu et au su de;1037150;-;-;-;-;-;;lefff
;;;;;;;;;au vu et au su d';1037151;-;-;-;-;-;;lefff
au-delà de;170607;Préposition;;;-;;;lefff;au-delà de;1037080;-;-;-;-;-;;lefff
;;;;;;;;;au delà d';1037081;-;-;-;-;-;;lefff
;;;;;;;;;au delà de;1037082;-;-;-;-;-;;lefff
;;;;;;;;;au-delà d';1037152;-;-;-;-;-;;lefff
au-dessous de;170649;Préposition;;;-;;;lefff;au-dessous de;1037153;-;-;-;-;-;;lefff
;;;;;;;;;au-dessous d';1037154;-;-;-;-;-;;lefff
au-dessus de;170650;Préposition;;;-;;;lefff;au-dessus de;1037155;-;-;-;-;-;;lefff
;;;;;;;;;au-dessus d';1037156;-;-;-;-;-;;lefff
au-devant de;170651;Préposition;;;-;;;lefff;au-devant de;1037157;-;-;-;-;-;;lefff
;;;;;;;;;au-devant d';1037158;-;-;-;-;-;;lefff
auprès de;170659;Préposition;;;-;;;lefff;auprès de;1037183;-;-;-;-;-;;lefff
;;;;;;;;;auprès d';1037184;-;-;-;-;-;;lefff
autour;123262;Préposition;;;-;;;dela;autour;893049;-;-;-;-;-;;dela
autour de;170693;Préposition;;;-;;;lefff;autour de;1038178;-;-;-;-;-;;lefff
;;;;;;;;;autour d';1038179;-;-;-;-;-;;lefff
aux bons soins de;170696;Préposition;;;-;;;lefff;aux bons soins de;1038182;-;-;-;-;-;;lefff
;;;;;;;;;aux bons soins d';1038183;-;-;-;-;-;;lefff
aux confins de;170697;Préposition;;;-;;;lefff;aux confins de;1038184;-;-;-;-;-;;lefff
;;;;;;;;;aux confins d';1038185;-;-;-;-;-;;lefff
aux dépens de;170698;Préposition;;;-;;;lefff;aux dépens de;1038186;-;-;-;-;-;;lefff
;;;;;;;;;aux dépens d';1038187;-;-;-;-;-;;lefff
avant;7417;Préposition;;;-;;a v a~;morphalou2 dela dicollecte lefff;avant;52458;-;-;-;-;-;a v a~;morphalou2 dela dicollecte lefff
;;;;;;;;;avt;1038214;-;-;-;-;-;;lefff
avant de;170700;Préposition;;;-;;;lefff;avant de;1038193;-;-;-;-;-;;lefff
;;;;;;;;;avant d';1038194;-;-;-;-;-;;lefff
avant même de;170701;Préposition;;;-;;;lefff;avant même de;1038195;-;-;-;-;-;;lefff
;;;;;;;;;avant même d';1038196;-;-;-;-;-;;lefff
avant que de;170704;Préposition;;;-;;;lefff;avant que de;1038201;-;-;-;-;-;;lefff
;;;;;;;;;avant que d';1038202;-;-;-;-;-;;lefff
avec;7436;Préposition;;;-;;a v E k;morphalou2 dela dicollecte lglex lefff;avec;52598;-;-;-;-;-;a v E k;morphalou2 dela dicollecte lglex lefff
because;123954;Préposition;;;-;;;dela;because;894779;-;-;-;-;-;;dela
bicause;124159;Préposition;;;-;;;dela;bicause;895316;-;-;-;-;-;;dela
cause de;170900;Préposition;;;-;;;lefff;cause de;1039178;-;-;-;-;-;;lefff
;;;;;;;;;cause d';1039179;-;-;-;-;-;;lefff
cf;170908;Préposition;;;-;;;lefff;cf;1039196;-;-;-;-;-;;lefff
;;;;;;;;;confer;1039799;-;-;-;-;-;;lefff
chez;14849;Préposition;;;-;;S e;morphalou2 dela dicollecte lefff;chez;104726;-;-;-;-;-;S e;morphalou2 dela dicollecte lefff
ci-devant;170943;Préposition;;;-;;;lefff;ci-devant;1039379;-;-;-;-;-;;lefff
comme;170978;Préposition;;;-;;;lefff;comme;1039687;-;-;-;-;-;;lefff
concernant;70715;Préposition;;;-;;k o~ s E R n a~;morphalou2 dela dicollecte;concernant;818811;-;-;-;-;-;;dela dicollecte
considérant;129069;Préposition;;;-;;;dela;considérant;907533;-;-;-;-;-;;dela
