---------------------------------------------------------------------------
Morphalou3.1 : Lexique morphologique ouvert du français – Ce fichier contient uniquement les Adverbes
4 157 lemmes et 4 167 formes fléchies de catégorie Adverbes (sur un total de 159 271 lemmes et 976 570 formes fléchies, toutes catégories confondues)
Le maintien et la mise à jour du lexique sont assurés par l'ATILF CNRS. (44 avenue de la Libération 54000 Nancy)
Morphalou3 est distribué sous licence LGPL-LR.
Version de 6/2016
Morphalou3 est le résultat de la fusion de 5 lexiques :
	- Morphalou2 (décembre 2013) : http://www.cnrtl.fr/lexiques/morphalou/
	- DELA (décembre 2011) : http://infolingu.univ-mlv.fr/
	- Dicollecte (4.3) : http://dicollecte.org/home.php?prj=fr
	- Lefff (2.1) : http://www.labri.fr/perso/clement/lefff/
	- LGLex et LGLexLefff (3.4) : http://infolingu.univ-mlv.fr/
Ce travail a été réalisé par Marie TONNELIER dans le cadre du projet Ortolang. (ORTOLANG bénéficie d'une aide de l’Etat au titre du programme « Investissements d’avenir » ANR–11–EQPX–0032)
---------------------------------------------------------------------------
LEMME;;;;;;;;;FLEXION;;;;;;;;
GRAPHIE;ID;CATÉGORIE;SOUS CATÉGORIE;LOCUTION;GENRE;AUTRES LEMMES LIÉS;PHONÉTIQUE;ORIGINES;GRAPHIE;ID;NOMBRE;MODE;GENRE;TEMPS;PERSONNE;PHONÉTIQUE;ORIGINES
actuellement;1266;Adverbe;;;-;;a k t y E l @ m a~ OU a k t y E/ l @ m a~ ;morphalou2 dela dicollecte lglex lefff;actuellement;11109;-;-;-;-;-;a k t y E l @ m a~ OU a k t y E/ l @ m a~ ;morphalou2 dela dicollecte lglex lefff
adagio;1361;Adverbe;;;-;;a d a d Z j o;morphalou2 dela dicollecte lefff;adagio;11706;-;-;-;-;-;a d a d Z j o;morphalou2 dela dicollecte lefff
additivement;1403;Adverbe;;;-;;a d i t i v @ m a~;morphalou2 dela dicollecte lglex;additivement;11917;-;-;-;-;-;a d i t i v @ m a~;morphalou2 dela dicollecte lglex
adens;1419;Adverbe;;;-;;a d a~;morphalou2;adens;11960;-;-;-;-;-;a d a~;morphalou2
adent;1421;Adverbe;;;-;;a d a~;morphalou2 dicollecte;adent;11963;-;-;-;-;-;a d a~;morphalou2 dicollecte
adiabatiquement;1446;Adverbe;;;-;;a d j a b a t i k @ m a~;morphalou2 dela dicollecte lglex lefff;adiabatiquement;12171;-;-;-;-;-;a d j a b a t i k @ m a~;morphalou2 dela dicollecte lglex lefff
adipeusement;1464;Adverbe;;;-;;a d i p 9 z @ m a~ OU a d i p 6 z @ m a~ ;morphalou2 dela lglex;adipeusement;12217;-;-;-;-;-;a d i p 9 z @ m a~ OU a d i p 6 z @ m a~ ;morphalou2 dela lglex
adjectivement;1482;Adverbe;;;-;;a d Z E k t i v @ m a~;morphalou2 dela dicollecte lglex lefff;adjectivement;12313;-;-;-;-;-;a d Z E k t i v @ m a~;morphalou2 dela dicollecte lglex lefff
administrativement;1531;Adverbe;;;-;;a d m i n i s t R a t i v @ m a~;morphalou2 dela dicollecte lglex lefff;administrativement;12775;-;-;-;-;-;a d m i n i s t R a t i v @ m a~;morphalou2 dela dicollecte lglex lefff
admirablement;1537;Adverbe;;;-;;a d m i R a b l @ m a~;morphalou2 dela dicollecte lglex lefff;admirablement;12839;-;-;-;-;-;a d m i R a b l @ m a~;morphalou2 dela dicollecte lglex lefff
admirativement;1546;Adverbe;;;-;;a d m i R a t i v @ m a~;morphalou2 dela dicollecte lglex lefff;admirativement;12862;-;-;-;-;-;a d m i R a t i v @ m a~;morphalou2 dela dicollecte lglex lefff
adonc;1586;Adverbe;;;-;;a d o~ k;morphalou2 dicollecte;adonc;13157;-;-;-;-;-;a d o~ k;morphalou2 dicollecte
adoncques;1587;Adverbe;;;-;;a d o~ k @;morphalou2 dicollecte;adoncques;13158;-;-;-;-;-;a d o~ k @;morphalou2 dicollecte
adorablement;1617;Adverbe;;;-;;a d O R a b l @ m a~ OU a d O/ R a b l @ m a~ ;morphalou2 dela dicollecte lglex lefff;adorablement;13382;-;-;-;-;-;a d O R a b l @ m a~ OU a d O/ R a b l @ m a~ ;morphalou2 dela dicollecte lglex lefff
adroitement;1665;Adverbe;;;-;;a d R w a t @ m a~;morphalou2 dela dicollecte lglex lefff;adroitement;13800;-;-;-;-;-;a d R w a t @ m a~;morphalou2 dela dicollecte lglex lefff
adultérieurement;1693;Adverbe;;;-;;a d y l t e R j 9 R @ m a~ OU a d y l t E/ R j 6 R @ m a~ ;morphalou2 dela lglex;adultérieurement;14065;-;-;-;-;-;a d y l t e R j 9 R @ m a~ OU a d y l t E/ R j 6 R @ m a~ ;morphalou2 dela lglex
adverbialement;1721;Adverbe;;;-;;a d v E R b j a l @ m a~;morphalou2 dela dicollecte lglex lefff;adverbialement;14292;-;-;-;-;-;a d v E R b j a l @ m a~;morphalou2 dela dicollecte lglex lefff
adversativement;1728;Adverbe;;;-;;a d v E R s a t i v @ m a~;morphalou2 dela lglex;adversativement;14358;-;-;-;-;-;a d v E R s a t i v @ m a~;morphalou2 dela lglex
adéquatement;1745;Adverbe;;;-;;a d e k w a t @ m a~ OU a d E/ k w a t @ m a~ ;morphalou2 dela dicollecte lglex lefff;adéquatement;14403;-;-;-;-;-;a d e k w a t @ m a~ OU a d E/ k w a t @ m a~ ;morphalou2 dela dicollecte lglex lefff
afanaf;1769;Adverbe;;;-;;a f a n a f;morphalou2;afanaf;14503;-;-;-;-;-;a f a n a f;morphalou2
affablement;1774;Adverbe;;;-;;a f a b l @ m a~;morphalou2 dela dicollecte lglex lefff;affablement;14516;-;-;-;-;-;a f a b l @ m a~;morphalou2 dela dicollecte lglex lefff
affectionnément;1842;Adverbe;;;-;;a f E k s j O n e m a~ OU a f E k s j O/ n E/ m a~ ;morphalou2 dela lglex;affectionnément;15270;-;-;-;-;-;a f E k s j O n e m a~ OU a f E k s j O/ n E/ m a~ ;morphalou2 dela lglex
affectivement;1843;Adverbe;;;-;;a f E k t i v @ m a~;morphalou2 dela dicollecte lglex;affectivement;15271;-;-;-;-;-;a f E k t i v @ m a~;morphalou2 dela dicollecte lglex
affectueusement;1845;Adverbe;;;-;;a f E k t y 2 z @ m a~ OU a f E k t y 6 z @ m a~ ;morphalou2 dela dicollecte lglex lefff;affectueusement;15274;-;-;-;-;-;a f E k t y 2 z @ m a~ OU a f E k t y 6 z @ m a~ ;morphalou2 dela dicollecte lglex lefff
affetto;1858;Adverbe;;;-;;a f E t o OU a f E/ t o ;morphalou2;affetto;15449;-;-;-;-;-;a f E t o OU a f E/ t o ;morphalou2
affettuoso;1859;Adverbe;;;-;;a f f e t w o z o;morphalou2;affettuoso;15450;-;-;-;-;-;a f f e t w o z o;morphalou2
affetuoso;1860;Adverbe;;;-;"variante du lemme #1859 ""affettuoso""";a f @ t y O z o OU a f E/ t y O/ z o ;morphalou2;affetuoso;15453;-;-;-;-;-;a f @ t y O z o OU a f E/ t y O/ z o ;morphalou2
affirmativement;1928;Adverbe;;;-;;a f i R m a t i v @ m a~;morphalou2 dela dicollecte lglex lefff;affirmativement;15910;-;-;-;-;-;a f i R m a t i v @ m a~;morphalou2 dela dicollecte lglex lefff
affreusement;2015;Adverbe;;;-;;a f R 9 z @ m a~ OU a f R 6 z @ m a~ ;morphalou2 dela dicollecte lglex lefff;affreusement;17054;-;-;-;-;-;a f R 9 z @ m a~ OU a f R 6 z @ m a~ ;morphalou2 dela dicollecte lglex lefff
afnaf;2074;Adverbe;;;-;;a f n a f;morphalou2;afnaf;17741;-;-;-;-;-;a f n a f;morphalou2
agilement;2238;Adverbe;;;-;;a Z i l @ m a~;morphalou2 dela dicollecte lglex lefff;agilement;18740;-;-;-;-;-;a Z i l @ m a~;morphalou2 dela dicollecte lglex lefff
agogiquement;2307;Adverbe;;;-;;a g O Z i k @ m a~ OU a g O/ Z i k @ m a~ ;morphalou2 dela lglex;agogiquement;19172;-;-;-;-;-;a g O Z i k @ m a~ OU a g O/ Z i k @ m a~ ;morphalou2 dela lglex
agressivement;2369;Adverbe;;;-;;a g R e s i v @ m a~ OU a g R E/ s i v @ m a~ ;morphalou2 dela dicollecte lglex lefff;agressivement;19715;-;-;-;-;-;a g R e s i v @ m a~ OU a g R E/ s i v @ m a~ ;morphalou2 dela dicollecte lglex lefff
agréablement;2433;Adverbe;;;-;;a g R e a b l @ m a~ OU a g R E/ a b l @ m a~ ;morphalou2 dela dicollecte lglex lefff;agréablement;20159;-;-;-;-;-;a g R e a b l @ m a~ OU a g R E/ a b l @ m a~ ;morphalou2 dela dicollecte lglex lefff
aigrement;2538;Adverbe;;;-;;E g R @ m a~ OU E/ g R @ m a~ ;morphalou2 dela dicollecte lglex lefff;aigrement;20996;-;-;-;-;-;E g R @ m a~ OU E/ g R @ m a~ ;morphalou2 dela dicollecte lglex lefff
aigûment;2606;Adverbe;;;-;;e g y m a~ OU E/ g y m a~ ;morphalou2 dela;aigûment;21492;-;-;-;-;-;e g y m a~ OU E/ g y m a~ ;morphalou2 dela
ailleurs;2618;Adverbe;;;-;;a j 9 R;morphalou2 dela dicollecte lefff;ailleurs;21614;-;-;-;-;-;a j 9 R;morphalou2 dela dicollecte lefff
aimablement;2626;Adverbe;;;-;;E m a b l @ m a~ OU E/ m a b l @ m a~ ;morphalou2 dela dicollecte lglex lefff;aimablement;21633;-;-;-;-;-;E m a b l @ m a~ OU E/ m a b l @ m a~ ;morphalou2 dela dicollecte lglex lefff
ainsi;2644;Adverbe;;;-;;e~ s i;morphalou2 dela dicollecte lglex lefff;ainsi;21778;-;-;-;-;-;e~ s i;morphalou2 dela dicollecte lglex lefff
aisément;2668;Adverbe;;;-;;E z e m a~ OU E/ z E/ m a~ ;morphalou2 dela dicollecte lglex lefff;aisément;21878;-;-;-;-;-;E z e m a~ OU E/ z E/ m a~ ;morphalou2 dela dicollecte lglex lefff
alcooliquement;2887;Adverbe;;;-;;a l k O l i k @ m a~ OU a l k O/ l i k @ m a~ ;morphalou2 dela lglex;alcooliquement;23143;-;-;-;-;-;a l k O l i k @ m a~ OU a l k O/ l i k @ m a~ ;morphalou2 dela lglex
alentour;2919;Adverbe;;;-;;a l a~ t u R;morphalou2 dela dicollecte lglex lefff;alentour;23314;-;-;-;-;-;a l a~ t u R;morphalou2 dela dicollecte lglex lefff
